STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
11525500,TRINITY R A LEWISTON CA,Non-ref,WestMnts,1861.691,18,40.719312,-122.803634,CA,,yes,98,60,20
11525600,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,Non-ref,WestMnts,80.1657,18,40.676257,-122.830578,CA,,,29,29,16
11525630,GRASS VALLEY C NR LEWISTON CA,Non-ref,WestMnts,94.93111,18,40.686535,-122.861135,CA,,yes,5,5,5
11525655,TRINITY R BL LIMEKILN GULCH NR DOUGLAS CITY CA,Non-ref,WestMnts,2099.82,18,40.672645,-122.920581,CA,,yes,17,17,9
11525854,TRINITY R A DOUGLAS CITY CA,Non-ref,WestMnts,2412.423,18,40.64709,-122.955859,CA,,yes,7,7,7
11526250,TRINITY R A JUNCTION CITY CA,Non-ref,WestMnts,2742.322,18,40.728477,-123.061974,CA,,yes,7,7,7
11526400,TRINITY R AB NF TRINITY R NR HELENA CA,Non-ref,WestMnts,2942.897,18,40.766531,-123.114476,CA,,yes,4,4,4
11527000,TRINITY R NR BURNT RANCH CA,Non-ref,WestMnts,3727.024,18,40.78875,-123.44004,CA,,yes,62,53,20
11530000,TRINITY R A HOOPA CA,Non-ref,WestMnts,7390.958,18,41.049852,-123.672001,CA,,yes,82,60,20
11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA,Non-ref,WestMnts,36187.75,18,39.009895,-121.82469,CA,,yes,71,60,20
11391000,SACRAMENTO R A KNIGHTS LANDING CA,Non-ref,WestMnts,39992.59,18,38.802957,-121.716353,CA,,,40,31,0
11451715,BEAR C AB HOLSTEN CHIMNEY CYN NR RUMSEY CA,Non-ref,WestXeric,247.9203,18,38.957674,-122.342754,CA,,yes,11,11,11
11451720,BEAR C NR RUMSEY CA,Non-ref,WestXeric,245.8791,18,38.944064,-122.344698,CA,,,22,22,0
11452000,CACHE C NR CAPAY CA,Non-ref,WestXeric,2697.043,18,38.728792,-122.10525,CA,,,33,26,0
11452500,CACHE C A YOLO CA,Non-ref,WestXeric,3011.422,18,38.725182,-121.807187,CA,,yes,106,60,20
11453500,PUTAH C NR GUENOC CA,Non-ref,WestXeric,293.4459,18,38.778791,-122.517481,CA,,yes,59,38,11
11454000,PUTAH C NR WINTERS CA,Non-ref,WestXeric,1491.096,18,38.515185,-122.081916,CA,,yes,79,60,20
11345500,SF PIT R NR LIKELY CA,Non-ref,WestMnts,672.2126,18,41.230729,-120.437173,CA,,yes,81,60,20
11348500,PIT R NR CANBY CA,Non-ref,WestMnts,3884.106,18,41.406001,-120.927746,CA,,yes,79,60,20
11350500,ASH C A ADIN CA,Non-ref,WestMnts,669.3642,18,41.198224,-120.943301,CA,,,30,25,0
11352000,PIT R NR BIEBER CA,Non-ref,WestMnts,6311.104,18,41.015166,-121.154694,CA,,,35,24,0
11341400,SACRAMENTO R NR MT SHASTA CA,Non-ref,WestMnts,343.8747,18,41.266542,-122.311677,CA,,,28,28,0
11342000,SACRAMENTO R A DELTA CA,Non-ref,WestMnts,1099.295,18,40.939594,-122.417235,CA,,yes,65,60,20
11355010,PIT R BL PIT NO 1 PH NR FALL RIVER MILLS CA,Non-ref,WestMnts,9692.255,18,40.983218,-121.511927,CA,,yes,34,34,20
11358700,HAT C BL HAT NO 1 DIV DAM NR BURNEY CA,Non-ref,WestMnts,1482.721,18,40.91877,-121.55165,CA,,yes,7,7,6
11360500,BURNEY C A PARK AVENUE NR BURNEY CA,Non-ref,WestMnts,236.0673,18,40.87627,-121.671377,CA,,,23,20,0
11362500,PIT R BL PIT NO 4 DAM CA,Non-ref,WestMnts,11996.08,18,40.973492,-121.779435,CA,,yes,82,60,20
11362950,EF NELSON C BL DIV TO NELSON C PP NR BIG BEND CA,Non-ref,WestMnts,21.6432,18,41.04016,-121.87555,CA,,yes,10,10,10
11363000,PIT R A BIG BEND CA,Non-ref,WestMnts,12160.92,18,41.019324,-121.911107,CA,,yes,99,60,20
11363930,IRON CANYON C BL IRON CANYON DAM NR BIG BEND CA,Non-ref,WestMnts,29.3247,18,41.039324,-121.985276,CA,,yes,36,36,13
11364200,ROARING C BLW DIV TO ROARING C PP NR MONTGMRY C CA,Non-ref,WestMnts,89.6148,18,40.88932,-121.95083,CA,,yes,9,9,9
11365000,PIT R NR MONTGOMERY CREEK CA,Non-ref,WestMnts,12787.55,18,40.843211,-122.017221,CA,,yes,64,59,20
11367500,MCCLOUD R NR MCCLOUD CA,Non-ref,WestMnts,944.0208,18,41.188213,-122.065557,CA,,yes,78,60,20
11367760,MCCLOUD R BL MCCLOUD DAM NR MCCLOUD CA,Non-ref,WestMnts,1050.917,18,41.12516,-122.06861,CA,,yes,9,9,5
11367800,MCCLOUD R A AH-DI-NA NR MCCLOUD CA,Non-ref,WestMnts,1112.567,18,41.110712,-122.096113,CA,,yes,45,45,20
11368000,MCCLOUD R AB SHASTA LK CA,Non-ref,WestMnts,1569.668,18,40.958208,-122.219728,CA,,yes,64,60,20
11374000,COW C NR MILLVILLE CA,Non-ref,WestXeric,1096.202,18,40.505152,-122.233335,CA,,yes,60,60,20
11376025,NF BATTLE C BL MCCUMBER DAM NR MANZANITA LAKE CA,Non-ref,WestMnts,68.0202,18,40.53738,-121.732488,CA,,yes,21,21,19
11376040,NF BATTLE C BL DIV TO AL SMITH CN NR MANTON CA,Non-ref,WestMnts,189.3456,18,40.51266,-121.78999,CA,,yes,0,0,0
11376050,NF BATTLE C BL DIV TO KESWICK CN NR MANTON CA,Non-ref,WestMnts,191.8323,18,40.49988,-121.80916,CA,,yes,1,1,1
11376140,NF BATTLE C BL DIV TO XCOUNTRY CN NR MANTON CA,Non-ref,WestMnts,367.7391,18,40.45432,-121.86082,CA,,yes,0,0,0
11376150,NF BATTLE C BL DIV TO EAGLE CY CN NR MANTON CA,Non-ref,WestMnts,486.1989,18,40.42377,-121.92027,CA,,yes,1,1,1
11376160,NF BATTLE C BL DIV TO WILDCAT CN NR MANTON CA,Non-ref,WestMnts,490.4892,18,40.42043,-121.9611,CA,,yes,1,1,1
11376420,SF BATTLE C BL DIV TO S CN NR MANTON CA,Non-ref,WestMnts,171.2979,18,40.36877,-121.79776,CA,,yes,0,0,0
