OBJECTID,GID,GUID,DT_CREATED,DT_VERIFIE,DT_START,DT_END,IS_COMPLET,IS_CURRENT,SRC_DETAIL,IS_VERIFIE,DT_MODIFIE,NOTES,PWSID,NAME,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,D_PRIN_CNT,D_POPULATI,D_PWS_FED_,D_LAST_INV,D_LAST_UPD,SOURCE_TAB,COUNTY_FIP,STATE,ADDRESS_CI,ADDR_LINE_,ADDR_LINE0,ADDRESS_ZI,SVC_CONNEC,DISTRICT_L,BOUNDARY_TYPE,REG_AGENCY,VERIFIED_STATUS,VERIFIED_NAME,VERIFIED_TYPE,DT_VERIFIED,EDITDATE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,Shape__Area,Shape__Length,SHAPE
4683,603,d773c06a-cdc6-401c-90e2-f379b9b32901,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000371,ROHDE ROAD APARTMENTS,A,1992/01/01 08:00:00+00,P,STANISLAUS,16,NP,2017/10/20 08:00:00+00,2018/11/06 08:00:00+00,2019/06/20 08:00:00+00,99,CA,TURLOCK,,3333 DEWAR LANE,95382,8,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:18+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.042714295343e-06,0.00413564782403094,
4684,338,03df7f6e-1a53-4f6a-8716-dc5c626a4897,2017/11/21 08:00:00+00,1970/01/01 00:00:00+00,2017/08/28 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/03/06 08:00:00+00, ,CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,A,2006/07/01 08:00:00+00,L,KERN,193,C,2019/06/04 08:00:00+00,2019/05/15 08:00:00+00,2019/06/20 08:00:00+00,29,CA,TEHACHAPI,,24750 SAND CANYON RD.,93561,69,82,,DISTRICT 19 - TEHACHAPI,Pending,,,1970/01/01 00:00:00+00,2019/12/21 08:05:18+00,,1970/01/01 00:00:00+00,DDW_SALT_Editor,2020/06/19 16:52:46+00,0.00202625248972118,0.195504130318197,
4685,599,9a2a4066-469b-46c4-9187-3fafaf7de151,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000301,VILLA LAS FLORES,A,1992/01/01 08:00:00+00,P,STANISLAUS,24,NP,2015/01/07 08:00:00+00,2018/11/06 08:00:00+00,2019/06/20 08:00:00+00,99,CA,PATTERSON,,,95363,13,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:18+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1.111650027424e-06,0.00441695378309966,
4686,596,6bca4f85-7ec3-46eb-8178-6ebcdb312ea5,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000225,SHASTA MOTEL,A,1992/01/01 08:00:00+00,P,STANISLAUS,1,NP,2018/07/11 08:00:00+00,2018/11/06 08:00:00+00,2019/06/20 08:00:00+00,99,CA,TURLOCK,,2200 LOYOLA WAY,95382,1,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:18+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,4.07205382804e-07,0.00292128860763871,
4687,15692,a2b72deb-94df-4242-bacf-4a694988146e,2011/10/04 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,"Uploaded CityofDalyCity_4110013.kml; drawn in GE, uploaded by ICE/KT",0,1970/01/01 00:00:00+00,,CA4110013,CITY OF DALY CITY,A,1976/01/01 08:00:00+00,L,SAN MATEO,102593,C,2018/08/23 08:00:00+00,2015/01/09 08:00:00+00,2019/06/20 08:00:00+00,81,CA,DALY CITY,,153 LAKE MERCED BLVD,94015,22549,80,,DISTRICT 17 - SANTA CLARA,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,0.00186018207879999,0.202254427560861,
4688,15925,58d97311-ebea-4dc3-b261-0aa05abf6b97,2011/10/10 08:00:00+00,1970/01/01 00:00:00+00,2009/06/30 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded USFSHumeLakeCampground_1000116.kml_drawn_GE_ICE/MF,0,1970/01/01 00:00:00+00,,CA1000116,USDA-FOREST SERVICE HUME LAKE CAMPGROUND,A,1979/03/22 08:00:00+00,F,FRESNO,500,NC,2019/04/02 08:00:00+00,2018/08/16 08:00:00+00,2019/06/20 08:00:00+00,19,CA,PORTERVILLE,,1839 S. NEWCOMB ST,93257,23,63,,DISTRICT 23 - FRESNO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,4.3272148194999e-05,0.0381018214882739,
4801,1452,1c221089-b01e-461d-b8be-cb69a89eeb33,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,2018/06/19 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/06/19 08:00:00+00, ,CA1000621,POWELL'S PROPERTIES,A,2014/12/10 08:00:00+00,P,FRESNO,156,NC,2019/04/02 08:00:00+00,2018/07/16 08:00:00+00,2019/06/20 08:00:00+00,19,CA,SHAVER LAKE,,P.O. Box 60,93664,3,63,,DISTRICT 23 - FRESNO,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,3.233228618025e-07,0.00246132651278508,
4802,1441,245914bf-9dda-4645-b34c-54b90019c36e,2018/06/18 08:00:00+00,1970/01/01 00:00:00+00,2018/06/14 08:00:00+00,1970/01/01 00:00:00+00,1,1,Uploaded using Water Boundary Tool,0,2018/06/18 08:00:00+00, ,CA3510007,SAN BENITO COUNTY WATER DISTRICT,A,2002/11/05 08:00:00+00,L,SAN BENITO,25,C,2017/09/06 08:00:00+00,2017/05/08 08:00:00+00,2019/06/20 08:00:00+00,69,CA,HOLLISTER,,PO BOX 899,95024,2,68,,DISTRICT 05 - MONTEREY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2.36866135302e-06,0.0100418844192818,
4803,606,2d179c17-7c5e-434c-b422-4248202b71bd,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,2018/03/06 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000076,CATFISH CAMP,A,2016/07/21 08:00:00+00,P,STANISLAUS,36,NC,2018/09/07 08:00:00+00,2018/09/07 08:00:00+00,2019/06/20 08:00:00+00,99,CA,MODESTO,,108  ROWLAND AVE,95354,36,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,3.713207937462e-06,0.0124486764529983,
4804,597,e0a1756f-be35-4429-ab2a-dcf3118423f2,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,2018/03/02 08:00:00+00,1970/01/01 00:00:00+00,1,1,Created using Water Boundary Tool,0,1970/01/01 00:00:00+00, ,CA5000306,B & C ZACHARIAH,A,1992/01/01 08:00:00+00,P,STANISLAUS,1,NP,2018/07/11 08:00:00+00,2018/11/06 08:00:00+00,2019/06/20 08:00:00+00,99,CA,TRACY,,7777 BATES RD,95304,1,17333,,LPA80 - STANISLAUS COUNTY,Not Verified,,,1970/01/01 00:00:00+00,2019/12/21 08:05:19+00,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,4.880018294075e-07,0.00309179064136778,
